Nazwa;Cena z podatkiem;Kategoria;Ilość;URL zdjecia;Opis
Physalis 100 g;6.59;Owoce świeże;30;http://localhost/img/p/physalis-100-g-b875u1.png;"Physalis jest jednoroczną rośliną pochodzącą z Ameryki Południowej. Dzikie odmiany miechunki pochodzą prawdopodobnie z rejonu And na południe od równika, z Ekwadoru, Boliwii, Peru oraz z północy Chile. Obecnie jest uprawiana w południowej Afryce, Nowej Zelandii, Kolumbii, Indiach, w Australii, na Antylach i Jawie. Owocem miechunki jest jagoda wielkości wiśni o barwie pomarańczowej. W sklepach można je spotkać w wyschniętych  jasnobrązowych, przypominających szary papier kielichach kwiatowych. Owoce są spożywane świeże, ale także w dżemach, galaretach, sosach. Smak owoców jest słodko - kwaśny, przypominający  pomidora. Wartości odżywcze i właściwości zdrowotne miechunki docenili już Inkowie, przez których była nazywana ""złotą jagodą"". Nic dziwnego ponieważ malutkie owoce miechunki są skarbnicą witamin i składników mineralnych, m.in. witaminy A, C, a także tych z grupy B oraz wapnia i fosforu."
Helio Orzechy nerkowca 80 g;8.59;Orzechy, migdały, fistaszki;30;http://localhost/img/p/helio-orzechy-nerkowca-80-g-ph262o.png;" 
        Helio
    

        Nadające się do recyklingu
    

        Orzechy nerkowca
    
"
Pomelo ważone;10.99;Owoce świeże;30;http://localhost/img/p/pomelo-wazone-k08eqn.png;Pomelo jest największym owocem wśród cytrusów - waga pojedynczej sztuki może dochodzić nawet do 1 kg. Są żółte, żółto-zielone lub różowe i mają grubą skórkę, która pokryta jest woskiem. Miąższ jest żółtawy lub różowy, podzielony na segmenty. W smaku owoce te są podobne do grejpfrutów, ale pozbawione są silnej goryczki, charakterystycznej dla tej grupy owoców. Są także mniej soczyste niż pozostałe cytrusy. Spożywane po raz pierwszy mogą wydawać się lekko suche, jednak jest to ich naturalna cecha. Ich smak jest delikatnie słodki, a przez to wyjątkowy.
Bakalland Skórka pomarańczowa 100 g;4.49;Mix i smakowe;30;http://localhost/img/p/bakalland-skorka-pomaranczowa-100-g-e74ntc.png;" 
        Bakalland
    

naturalne źródło błonnika pokarmowego


        Skórka pomarańczowa kandyzowana
    
"
Helio Orzechy nerkowca 300 g;28.89;Orzechy, migdały, fistaszki;30;http://localhost/img/p/helio-orzechy-nerkowca-300-g-q6tj6i.png;" 
        Helio
    

        Orzechy nerkowca.
    
"
GOH Kiełki lucerny 50 g;3.79;Sałaty świeże, kiełki;30;http://localhost/img/p/kielki-lucerny-50-g-3a-kg15cp.png;"Delikatne i soczyste.
Doskonałe do koktajli owocowo-warzywnych oraz sałatek i kanapek.
"
KRESTO Wiórki kokosowe 200 g;7.59;Owoce suszone kandyzowane;30;http://localhost/img/p/kresto-wiorki-kokosowe-200-g-2l1v1k.png;" 
        KRESTO
    

        Nadające się do recyklingu
    

        Wiórki kokosowe.
    
"
Florpak Soczewica czerwona 500 g;6.79;Warzywa suszone;30;http://localhost/img/p/florpak-soczewica-czerwona-500-g-hqjutp.png;W kolorach od złota poprzez pomarańczowy, aż do rzeczywistej czerwieni, to są najsłodsze i najbardziej miłe naszemu oku ziarenka. Mała pod względem ziaren ale odżywczo- to potężny członek rodziny strączkowych, są bardzo dobrym źródłem błonnika obniżającego poziom cholesterolu. Soczewica dodaje energii do spalania kalorii, przy jednoczesnym stabilizowaniu cukru we krwi. Ponadto, aby zapewnić powolne spalanie węglowodanów złożonych, soczewica może zwiększyć Twoją energię poprzez uzupełnianie zapasów żelaza. Po ugotowaniu soczewice mają konsystencję puree i dlatego są doskonałe do dań zagęszczonych, takich jak zupy, kremy, zapiekanki, pasztety, różnego rodzaju farsze. Są one również często gotowane z przyprawami, jako indyjska potrawa dahlu.
KRESTO Migdały płatki 150 g;16.29;Orzechy, migdały, fistaszki;30;http://localhost/img/p/kresto-migdaly-platki-150-g-rqo7ts.png;" 
        KRESTO
    

        Migdały płatki.
    
"
KRESTO Słonecznik łuskany 500 g;10.49;Pestki, ziarna i nasiona;30;http://localhost/img/p/kresto-slonecznik-luskany-500-g-qbvi54.png;" 
        KRESTO
    
"
Rozmaryn świeży;7.99;Zioła;30;http://localhost/img/p/rozmaryn-swiezy-ugqp7h.png;-Produkt Polski -Produkcja bez pestycydów
VitalPol Soczewica czerwona 450 g;6.69;Warzywa suszone;30;http://localhost/img/p/vitalpol-soczewica-czerwona-450-g-umq987.png;Soczewica czerwona jest doskonała do zup, sałatek, czy różnego rodzaju past i farszów.
Żurawina suszona BIO;13.51;Owoce suszone kandyzowane;30;http://localhost/img/p/zurawina-suszona-bio-pb3eks.png;"żurawina BIO 60%, cukier BIO 39%, olej słonecznikowy BIO 1%. Produkt może zawierać: SEZAM, SELER, ORZESZKI ARACHIDOWE I INNE ORZECHY.

Oznakowanie alergenów: wielkimi literami"
Helio Natura Słonecznik łuskany 150 g;5.99;Owoce suszone kandyzowane;30;http://localhost/img/p/helio-natura-slonecznik-luskany-150-g-anjcoa.png;" 
        Helio
    

        z upraw ekologicznychnaturalnie dla zdrowianaturalnie dla Ciebienaturalnie pod kontrolą}
    

naturalnie dla zdrowia
z upraw ekologicznych


        Ziarna słonecznika, łuskane z upraw ekologicznych
    
"
Barszcz biały 500 ml;3.99;Surówki;30;http://localhost/img/p/barszcz-bialy-500-ml-h6-1aoc8v.png;Kiszony, niepasteryzowany, bez dodatku substancji konserwujących.
Helio Masa makowa z bakaliami 850 g;8.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/helio-masa-makowa-z-bakaliami-850-g-ip672e.png;" 
        Helio
    

bez konserwantów!
Laur Konsumenta 2018
oryginalna receptura - mak babuni


        Masa makowa z bakaliami
    
"
Włoszczyzna suszona 100 g;2.89;Owoce, warzywa, zioła;30;http://localhost/img/p/wloszczyzna-suszona-100-g-9349ta.png;" 
        100 g zastępuje 1 kg świeżych warzyw.Włoszczyzna suszona to doskonała baza do przyrządzenia zup, sosów i innych potraw. Kompozycję pożywnych warzyw i ziół wystarczy gotować 15 minut aż warzywa staną się miękkie i nadadzą potrawie smak i apetyczny aromat.}
    

wysuszone z 1 kg świeżej włoszczyzny
wybieram naturę
baza do zup i sosów


        Włoszczyzna suszona
    
"
Mięta bio;6.99;Zioła;30;http://localhost/img/p/mieta-bio-1o6odv.png;-Produkt Polski -Produkcja bez pestycydów -Bez plastikowej doniczki
Helio Słonecznik łuskany 500 g;11.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/helio-slonecznik-luskany-500-g-daboo4.png;" 
        Helio
    

        Ziarna słonecznika bez łupinki.
    
"
Daktyle suszone z pestką tacka 200 g;4.79;Owoce suszone kandyzowane;30;http://localhost/img/p/daktyle-suszone-z-pestka-tacka-200-g-mj5fm9.png;"Daktyle rosną na drzewach sięgających nawet do 20 m wysokości. Prawdopodobnie daktylowce uprawiano już 5000 lat przed naszą erą. Popularnością cieszą się szczególnie w krajach azjatyckich i Afryce. Są doskonałym źródłem energii, ale mają również inne zalety.
Pomimo dużej zawartości węglowodanów daktyle, zwłaszcza te świeże, pomagają stabilizować poziom cukru we krwi. Dzieje się tak za sprawą wysokiej ilości błonnika pokarmowego, który dodatkowo zapobiega zaparciom, reguluje pracę przewodu pokarmowego oraz odżywia mikroflorę przewodu pokarmowego (zdrowe bakterie żyjące głównie w jelicie grubym i cienkim). Prawidłowy stan mikroflory jelitowej warunkuje zdrowie całego organizmu, a nawet korzystnie wpływa na zdrowie psychiczne.
Daktyle polecane są po wysiłku fizycznym oraz intelektualnym – uzupełniają zapasy glikogenu w mięśniach i wątrobie, dostarczają sporą dawkę potasu oraz magnezu. Magnez i potas są niezbędne do właściwej pracy mięśni i układu nerwowego – przeciwdziałają skurczom, poprawiają pamięć i koncentrację.
Są doskonałym źródłem żelaza, które wpływa na prawidłowe ukrwienie organizmu, a dzięki temu mamy więcej energii i sił witalnych. Daktyle polecane są w anemii, w celu uzupełnienia tego składnika."
Carrefour Extra Migdały łuskane 180 g;9.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/carrefour-extra-migdaly-luskane-180-g-t9blvq.png;" 
        Carrefour
    

wysoka zawartość błonnika pokarmowego
jakość kontrolowana


        Migdały łuskane.
    
"
Florpak Fasola Piękny Jaś Medium 450 g;5.79;Warzywa suszone;30;http://localhost/img/p/florpak-fasola-piekny-jas-medium-450-g-800o2k.png;"Zwana też karłową z uwagi na nieco mniejsze ziarna w porównaniu do fasoli białej gruboziarnistej Piękny Jaś. 
Niczym jednak nie ustępuje jeśli chodzi o wartości odżywcze, smakowe, a także sposoby wykorzystania w kuchni, tak więc możemy z niej przygotować: dania jednogarnkowe, „fasolkę po bretońsku”, pasty, pasztety, zupy, a nawet muffinki, czy tort fasolowy."
Carrefour Extra Żurawina suszona 180 g;5.24;Owoce suszone kandyzowane;30;http://localhost/img/p/carrefour-extra-zurawina-suszona-180-g-n6kotc.png;"Carrefour

źródło błonnika pokarmowego
jakość kontrolowana

Żurawina cała (Vaccinium macrocarpon) słodzona, suszona.
"
Carrefour Extra Śliwki suszone D'agan 180 g;5.5;Owoce suszone kandyzowane;30;http://localhost/img/p/carrefour-extra-sliwki-suszone-dagan-180-g-t69r2a.png;" 
        Carrefour
    

źródło błonnika pokarmowego
jakość kontrolowana


        Śliwki suszone bez pestek odmiany D'agan.
    
"
Figa sztuka;4.49;Owoce świeże;30;http://localhost/img/p/figa-sztuka-tpgkr7.png;Figa jest owocem figowca pospolitego i uprawia się ją na terenach śródziemnomorskich. W zależności od gatunku, drzewa figowe mogą osiągać nawet do trzydziestu metrów wysokości. Spotkać je można w postaci różnych odmian. Te ciemnofioletowe można spożywać w postaci surowej, zaś jasnozielone nadają się do suszenia, podczas którego nabierają bursztynowo – karmelowej barwy. Po późniejszym sprasowaniu sprzedawane są jako bakalie. Świeże figi zawierają od 15 do 25% glukozy i fruktozy, przeciwutleniacz witaminę C, witaminy z grupy B, witaminę PP oraz karoten. Są bardzo bogate w sole mineralne, zawierają  potas, wapń, magnez, cynk i fosfor.﻿ Figi są najlepszym źródłem wapnia spośród wszystkich produktów roślinnych. 100g tego owocu dostarcza tyle wapnia, ile jedna szklanka mleka. Można jeść zarówno świeże, jak i suszone - same, lub jako składnik wielu potraw: sałatek, deserów, ciast. Stanowią idealny dodatek do wieprzowiny lub dziczyzny. Można przygotowywać z nich przetwory - dżemy, kompoty. Dobre są także ugotowane w czerwonym winie. Suszone figi to nieodzowny składnik kompotu na Boże Narodzenie.
Rodzynki premium 200g;3.99;Owoce suszone kandyzowane;30;http://localhost/img/p/rodzynki-premium-200g-4h5oho.png;Małe, słodkie, bezpestkowe, bursztynowe rodzynki sprawdzą się doskonale jako dodatek do wypieków, musli oraz lodów.
Helio Natura Śliwki suszone 150 g;16.39;Owoce suszone kandyzowane;30;http://localhost/img/p/helio-natura-sliwki-suszone-150-g-vtrfmn.png;" 
        Helio
    

        bez konserwantównaturalnie zdrowenaturalnie dla Ciebienaturalnie wyjątkowy smak}
    

100% natury
naturalnie dla zdrowia
bez substancji konserwujących


        Śliwki suszone bez pestek
    
"
KRESTO Żurawina 200 g;14.49;Mix i smakowe;30;http://localhost/img/p/kresto-zurawina-200-g-vgikb4.png;" 
        KRESTO
    

        Nadające się do recyklingu
    

        Żurawina suszona, słodzona, cięta.
    
"
Bakalland Mieszanka studencka klasyczna 200 g;11.99;Mix i smakowe;30;http://localhost/img/p/bakalland-mieszanka-studencka-klasyczna-200-g-h45cja.png;" 
        Bakalland
    

        Klasyczna mieszanka studencka, to wysokiej jakości połączenie orzechów arachidowych, rodzynek, orzechów laskowych i orzechów nerkowca. Porcja doskonale skomponowanej przekąski gwarantuje nie tylko walory smakowe, ale dostarcza organizmowi bogactwa składników odżywczych i witamin.}
    

naturalne źródło magnezu, potasu i witaminy E
Dobra i Polska firma


        Mieszanka bakaliowa
    
"
Orzechy ziemne prażone niesolone 600 g;11.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/orzechy-ziemne-prazone-niesolone-600-g-avashr.png;Orzechy ziemne wbrew swojej nazwie nie należą do orzechów. Są gatunkiem należącym do roślin strączkowych. Posiadają wyjątkowe właściwości i wartości odżywcze. Z uwagi na wysoką zawartość białka i wielu składników mineralnych, polecane są osobom prowadzącym aktywny tryb życia. Mniejszą zawartość tłuszczu zawdzięczają procesowi prażenia, a wersja niesolona korzystnie wpływa na układ krążenia.
Cebula smażona 200 g;5.69;Owoce, warzywa, zioła;30;http://localhost/img/p/cebula-smazona-200-g-5i55cg.png;Chrupka, złocista i aromatyczna cebula pokrojona w drobne paski. Idealny dodatek do wielu dań.
Helio Rodzynki sułtańskie 100 g;4.39;Owoce suszone kandyzowane;30;http://localhost/img/p/helio-rodzynki-sultanskie-100-g-lia6av.png;" 
        Helio
    

        Nadające się do recyklingu
    

        Rodzynki sułtańskie.
    
"
"Kiełki na patelnię  ""STIR FRY"" 200 g";4.69;Sałaty świeże, kiełki;30;http://localhost/img/p/kielki-na-patelnie-stir-fry-200-g-cd8ct7.png;STIR FRY to mieszanina kiełków fasolli Mung, ciecierzcy i dwóch rodzajów soczewicy. Została skomponowana w taki sposób, aby można ją było przyrządzać i podawać na ciepło. ZDROWIE Kiełki STIR FRY są źródłem dużych ilości łatwo przyswajalnego białka. Mieszanka jest również bogata w kwas foliowy oraz żelazo i cynk. Kiełki STIR FRY podsmaża się na oliwie przez kilka minut i doprawia według uznania – na przykład pieprzem, kminkiem lub świeżymi ziołami (tymiankiem, oregano). Można je również dusić z dodatkiem różnych sosów na przykład pomidorowego lub słodko – kwaśnego (do potraw orientalnych). Podsmażone mogą stanowić chrupiący dodatek do makaronów lub sałatek.
Bakalland Słonecznik łuskany 500 g;10.39;Pestki, ziarna i nasiona;30;http://localhost/img/p/bakalland-slonecznik-luskany-500-g-9n3e2c.png;" 
        Bakalland
    

        Ziarna słonecznika stanowią doskonałą, wartościową przekąskę, mającą liczne wartości odżywcze. Są również idealnym składnikiem urozmaicającym smak sałatek - zarówno owocowych, jak i warzywnych.}
    

naturalne bogactwo magnezu, żelaza i witaminy B1
Dobra i Polska firma


        Ziarno słonecznika łuskane
    
"
Helio Orzeszki ziemne 200 g;5.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/helio-orzeszki-ziemne-200-g-kiipdq.png;" 
        Helio
    

        Nadające się do recyklingu
    

        Orzeszki ziemne smażone bez dodatku soli.
    
"
Suszone gruszki 70 g;6.49;Owoce suszone kandyzowane;30;http://localhost/img/p/suszone-gruszki-70-g-u2j98o.png;Masz w ręku produkt, który w 100% został wyprodukowany z polskich gruszek Do suszenia została użyta specjalnie wyselekcjonowana odmiana gruszek, która gwarantuje perfekcyjny smak i aromat. Promujemy polskie jedzenie. Wesprzyj Nas! Do wyprodukowania 100g produktu gotowego zużyto około 1000g świeżych gruszek.
Mieszanka studencka 400 g;12.99;Mix i smakowe;30;http://localhost/img/p/mieszanka-studencka-400-g-4c1kqe.png;- źródło błonnika pokarmowego
Pigwa szt.;4.99;Owoce świeże;30;http://localhost/img/p/pigwa-szt--qq17ui.png;Pigwa nazywana jest ,, polską cytryną'', nie tylko ze względu na swój cierpki i kwaśny smak ale także na właściwości lecznicze. Zawiera dużo witaminy C oraz wiele składników skutecznie wzmacniających odporność. Dzięki sporej zawartości pektyn, świetnie nadaje się do konfitur i dżemów.
Tymianek, świeży;5.39;Zioła;30;http://localhost/img/p/tymianek-swiezy-f6u6r4.png;-Produkt Polski -Produkcja bez pestycydów
KRESTO Rodzynki jumbo 200 g;5.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/kresto-rodzynki-jumbo-200-g-piue1p.png;" 
        KRESTO
    

        Rodzynki Thompson jumbo.
    
"
Florpak Soczewica zielona 500 g;5.69;Warzywa suszone;30;http://localhost/img/p/florpak-soczewica-zielona-500-g-vvm386.png;"Jej ziarna są cętkowane, zielono-brązowe, ma krzepki, nieco pieprzny smak.
To kolejna z soczewic, której ziarna są zdrowe i tak naprawdę trudno cokolwiek „zepsuć” przygotowując z niej danie. Powinno się jej używać w kuchni przez cały rok, zwłaszcza, że można z niej stworzyć dania: szybkie, łatwe i bez jakichkolwiek wyrzutów w stosunku do siebie, jako że potrawy z niej są zdrowe oraz dietetyczne. 
Doskonała do sałatek, zapiekanek, zup, kremów, farszów, pasztetów, a nawet ciasteczek. Świetnie jej w towarzystwie ryżu oraz grillowanych warzyw. 
Nie przegap okazji aby dodać więcej smaku twojej soczewicy, wystarczy dodać do wody, w której gotujemy soczewicę np. połowę cebuli, zgnieciony czosnek, czy też wiązkę ziół."
Helio Natura Morele suszone 150 g;11.99;Owoce suszone kandyzowane;30;http://localhost/img/p/helio-natura-morele-suszone-150-g-kbbbpr.png;" 
        Helio
    

        Morele suszonenaturalnie zdrowenaturalnie ciemny kolornaturalnie wyjątkowy smakbez konserwantów}
    

100% natury
naturalnie dla zdrowia
bez substancji konserwujących


        Nadające się do recyklingu
    

        Morele suszone bez pestek.
    
"
Borowik szlachetny suszony słoik 40 g;19.49;Grzyby;30;http://localhost/img/p/borowik-szlachetny-suszony-sloik-40-g-ijsos9.png;"suszony borowik szlachetny - Boletus edulis - krajanka.

Oznakowanie alergenów: wielkimi literami"
Sok z kapusty kiszonej 250 ml;2.49;Surówki;30;http://localhost/img/p/sok-z-kapusty-kiszonej-250-ml-l2oh2v.png;Kiszony, niepasteryzowany, bez dodatku substancji konserwujących.
Carrefour Targ Świeżości Ziemniaki całe z rozmarynem 430 g;3.79;Warzywa świeże;30;http://localhost/img/p/ziemniaczki-pri-got-z-rozmar-430-g-j63ko7.png;" 
        Carrefour
    

bez dodatku substancji konserwujących
Produkt polski
jakość kontrolowana


        Produkt otrzymany ze świeżych ziemniaków, obrany z dodatkiem marynaty, pakowany próżniowo i pasteryzowany.
    
"
Helio Pestki dyni 100 g;7.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/helio-pestki-dyni-100-g-eb297n.png;" 
        Helio
    

        Nadające się do recyklingu
    

        Łuskane pestki dyni.
    
"
Helio Wiórki kokosowe 300 g;11.99;Owoce suszone kandyzowane;30;http://localhost/img/p/helio-wiorki-kokosowe-300-g-sse1rr.png;" 
        Helio
    

        Wiórki kokosowe
    
"
GOH Kiełki jarmużu 50 g;4.99;Owoce świeże;30;http://localhost/img/p/kielki-jarmuzu-50-g-23250a.png;Dość ostry, pikantny smak. Świetnie sprawdzają się jako dodatek do sałatek, past oraz koktajli.
Kokos 100g;3.39;Owoce suszone kandyzowane;30;http://localhost/img/p/kokos-100g-3ac072.png;Wiórki kokosowe - idealny dodatek do deserów.
Carrefour Extra Pestki dyni łuskane 180 g;8.49;Pestki, ziarna i nasiona;30;http://localhost/img/p/carrefour-extra-pestki-dyni-luskane-180-g-ht1sfp.png;" 
        Carrefour
    

źródło błonnika pokarmowego
jakość kontrolowana


        Pestki dyni łuskane.
    
"
Cebula biała obierana;1.5;Warzywa świeże;30;http://localhost/img/p/cebula-biala-obierana-564fkm.png;"Cebula 100%.

Oznakowanie alergenów: wielkimi literami"
Sok z ogórków kiszonych 250 ml;2.89;Surówki;30;http://localhost/img/p/sok-z-ogorkow-kiszonych-250-ml-rv4bde.png;Kiszony, niepasteryzowany, bez dodatku substancji konserwujących.
Helio Słonecznik łuskany 200 g;4.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/helio-slonecznik-luskany-200-g-9vbbig.png;" 
        Helio
    

        Nadające się do recyklingu
    

        Ziarna słonecznika, łuskane.
    
"
Bakalland Migdały 300 g;36.29;Orzechy, migdały, fistaszki;30;http://localhost/img/p/bakalland-migdaly-300-g-uk2f9n.png;" 
        Bakalland
    

naturalne bogactwo cynku, magnezu i witaminy E


        Migdały łuskane
    
"
Orzeszki arachidowe prażone 1 kg;18.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/orzechy-aranchidowe-niesolone-1-kg-599t43.png;Orzechy ziemne prażone bez dodatku tłuszczu i soli. Prażenie wydobywa głębie smaku tych popularnych orzechów, a brak dodatku soli kierowany jest m.in. do osób ograniczających sól w swojej diecie.
Florpak Soczewica brązowa 500g;6.39;Warzywa suszone;30;http://localhost/img/p/florpak-soczewica-brazowa-500g-1telhl.png;W kolorach od khaki do brązowej, ma łagodny smak. Soczewica ta jest doskonałym źródłem molibdenu, kwasu foliowego, błonnika pokarmowego, miedzi, fosforu i manganu. Dodatkowo to doskonały zasób żelaza, białka, witaminy B1, kwasu pantotenowego, cynku, potasu i witaminy B6. Idealna do sałatek, zapiekanek, zup, różnego rodzaju farszów, pasztetów, a nawet ciasteczek. Świetnie jej w towarzystwie ryżu oraz grillowanych warzyw.
Carrefour Extra Orzechy laskowe 180 g;12.49;Orzechy, migdały, fistaszki;30;http://localhost/img/p/carrefour-extra-orzechy-laskowe-180-g-d8uffo.png;" 
        Carrefour
    

wysoka zawartość błonnika pokarmowego
jakość kontrolowana


        Orzechy laskowe łuskane.
    
"
KRESTO Migdały blanszowane 100 g;9.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/kresto-migdaly-blanszowane-100-g-4u2rbk.png;" 
        KRESTO
    

        Nadające się do recyklingu
    

        Migdały blanszowane.
    
"
Bakalland Migdały w płatkach 75 g;10.59;Orzechy, migdały, fistaszki;30;http://localhost/img/p/bakalland-migdaly-w-platkach-75-g-9uvbtg.png;" 
        Bakalland
    

        Migdały blanszowane w płatkach są źródłem magnezu. Magnez przyczynia się do zmniejszenia uczucia zmęczenia i znużenia, pomaga w utrzymaniu prawidłowych funkcji psychologicznych oraz w utrzymaniu zdrowych kości i zębów.Korzystne działanie występuje w przypadku spożywania 1 dziennie. Pamiętaj, że zrównoważona dieta i akty/tryb życia są ważne dla zachowania dobrego samopoczucia i zdrowia.Czy wiesz, że...* Mielone migdały to główny składnik marcepanu.* Największymi producentami migdałów są Stany Zjednoczone i Hiszpania.* Migdały należą do rodziny różowatych, tak samo jak morele, brzoskwinie i czereśnie.}
    

źródło błonnika pokarmowego i magnezu


        Migdały blanszowane w płatkach.
    
"
Carrefour Extra Morele suszone 180 g;11.99;Owoce suszone kandyzowane;30;http://localhost/img/p/carrefour-extra-morele-suszone-180-g-sjlmh7.png;"Carrefour

źródło błonnika pokarmowego
jakość kontrolowana

Morele suszone bez pestek.
"
Helio Orzechy laskowe 100 g;11.49;Orzechy, migdały, fistaszki;30;http://localhost/img/p/helio-orzechy-laskowe-100-g-pmbj14.png;" 
        Helio
    

praktyczne zamknięcie


        Nadające się do recyklingu
    

        Orzechy laskowe łuskane.
    
"
Imbir kandyzowany 200 g;9.99;Owoce suszone kandyzowane;30;http://localhost/img/p/imbir-kandyzowany-200-g-hfr7v7.png;Niepowtarzalny zapach oraz ognisty i cierpki smak są jednymi z atutów imbiru. Połyskujące kryształy cukru podkreślają jego żółtą barwę.
Pomidory suszone 200g;11.49;Mix i smakowe;30;http://localhost/img/p/pomidory-suszone-200g-tir5r2.png;Połówki pomidorów suszone na słońcu. Słony smak i intensywny aromat to walory, które sprawiają, że pomidory stają się doskonałym dodatkiem do wielu dań.
Natka pietruszki 25 g;1.99;Owoce, warzywa, zioła;30;http://localhost/img/p/natka-pietruszki-25-g-rejvl2.png;Aromatyczna, suszona natka pietruszki - bez dodatku substancji konserwujących. Warto mieć ją w swoich przyprawach.
VitalPol - Fasola Piękny Jaś tyczny 375 g;7.69;Warzywa suszone;30;http://localhost/img/p/vitalpol-fasola-piekny-jas-tyczny-375-g-jblid7.png;"fasola Piękny Jaś tyczny 100%.
Oznakowanie alergenów: wielkimi literami"
Helio Natura Daktyle Deglet Nour 100 g;5.19;Owoce suszone kandyzowane;30;http://localhost/img/p/helio-natura-daktyle-deglet-nour-100-g-mivd9d.png;" 
        Helio
    

        Daktyle suszone są naturalnym, bogatym źródłem błonnika pokarmowego.W 100 g produktu jest 8 g błonnika.bez konserwantówbogate źródło błonnikadoskonała przekąskanaturalnie dla Ciebienaturalnie wyjątkowy smak}
    

100% natury
naturalnie dla zdrowia
bez substancji konserwujących
naturalnie dla Ciebie


        Daktyle suszone bez pestek, odmiany Deglet Nour.
    
"
Żurawina suszona 400 g;18.99;Owoce suszone kandyzowane;30;http://localhost/img/p/zurawina-suszona-400-g-9vvp3u.png;- Źródło błonnika pokarmowego.
KRESTO Nerkowce 100 g;11.69;Orzechy, migdały, fistaszki;30;http://localhost/img/p/kresto-nerkowce-100-g-9unaqs.png;" 
        KRESTO
    

        Orzechy nerkowca.
    
"
GOH Kiełki soczewicy 150 g;3.79;Sałaty świeże, kiełki;30;http://localhost/img/p/kielki-soczewicy-150-g-gjpkm6.png;"Kiełki warzywne to jedno z pierwszych stadiów wzrostu rośliny.
W początkowym okresie kiełkujące nasiona uwalniają bardzo duże ilości łatwo przyswajalnych substancji odżywczych niezwykle cennych dla człowieka.
To właśnie bogactwo substancji odżywczych zadecydowało o ich fenomenie.
Stanowią prawdziwy skarbiec witamin, głównie A, C i z grupy B, ale niektóre zawierają także rzadko spotykaną witaminę D.
W ich składzie można odnaleźć także wiele składników mineralnych – fosfor, potas, żelazo, miedź, cynk, itp.
Stanowią idealne uzupełnienie diety, zwłaszcza w okresie późno wiosennym, gdy dostęp do świeżych warzyw i owoców jest najbardziej ograniczony.
Kiełki brokułu, lucerny, czy fasoli Mung to naturalne suplementy diety, które organizm łatwo przyswaja i pełniej czerpie z ich składników.
Regularne spożywanie tych produktów przyczynia się do wzmocnienia układu immunologicznego, a także może zmniejszyć znacząco ryzyko występowania wielu schorzeń.
Ponadto są to produkty spożywcze, które idealnie sprawdzają się w roli zdrowej przekąski – spożywanej osobno, jak również w postaci pysznego dodatku do kanapek, zup, sałatek, jak też potraw kuchni z całego świata.
"
Crispy Natural Chrupsy Suszone chipsy z jabłka z sokiem truskawkowym 18 g;3.39;Chipsy owocowe i warzywne;30;http://localhost/img/p/crispy-natural-chrupsy-suszone-chipsy-z-jablka-z-sokiem-truskawkowym-18-g-e6nkfa.png;" 
        Crispy Natural
    

        Specjalnie dla Ciebie wysuszyliśmy chipsy z jabłka nie dodając tłuszczu, w których zachowaliśmy wysokie wartości odżywcze dzięki innowacyjnej technologii suszenia.}
    

ze świeżych jabłek
suszone, bez smażenia i pieczenia
źródło błonnika pokarmowego
bez dodatku cukrów*
produkt bezglutenowy***
1 z 5 porcji owoców i warzyw
* zawiera naturalnie występujące cukry
*** przebadany przez akredytowane laboratorium


        Chipsy z jabłka.
    
"
Bakalland Morele suszone 400 g;24.49;Owoce suszone kandyzowane;30;http://localhost/img/p/bakalland-morele-suszone-400-g-jckku7.png;" 
        Bakalland
    

        Miękka, mięsista skórka i słodki smak to sekret najlepszych moreli Bakalland. Morele to znakomita przekąska dla osób dbających o linię: w 100 gramach znajduje się 301 kalorii, które dostarczają organizmowi ponad 100% dziennej dawki istotnej dla zdrowia witaminy A.}
    

naturalne źródło żelaza, wapnia i witaminy A
Dobra i Polska firma


        Morele suszone bez pestek
    
"
Runopol Borowik szlachetny suszony 20 g;7.99;Warzywa suszone;30;http://localhost/img/p/runopol-borowik-szlachetny-suszony-20-g-gscnds.png;suszony borowik szlachetny (Boletus edulis) - krajanka
Fresco Rodzynki 100 g;2.79;Owoce suszone kandyzowane;30;http://localhost/img/p/fresco-rodzynki-sultanskie-100-g-p1n3gq.png;" 
        Fresco
    

jakość w dobrej cenie!
Dobra i polska firma


        Rodzynki
    
"
Dania Babci Zosi Placki ziemniaczane 200 g (2 x 100 g);5.29;Owoce, warzywa, zioła;30;http://localhost/img/p/dania-babci-zosi-placki-ziemniaczane-200-g-2-x-100-g-uuh9qm.png;" 
        Dania Babci Zosi
    

naturalne składniki
dla wegan
0% GMO
polska firma
20 min, na 12 placków


        Mieszanka na placki ziemniaczane
    
"
